[ 2016-11-15T09:24:29+08:00 ] /index.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-11-15T09:26:56+08:00 ] /index.php/Login/checkAccount | INFO: Tag[ route_check ] --START--
[ 2016-11-15T09:26:56+08:00 ] /index.php/Login/checkAccount | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-11-15T09:26:56+08:00 ] /index.php/Login/checkAccount | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-11-15T09:26:56+08:00 ] /index.php/Login/checkAccount | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-11-15T09:26:56+08:00 ] /index.php/Login/checkAccount | INFO: Tag[ app_begin ] --START--
[ 2016-11-15T09:26:56+08:00 ] /index.php/Login/checkAccount | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-11-15T09:26:56+08:00 ] /index.php/Login/checkAccount | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-11-15T09:26:56+08:00 ] /index.php/Login/checkAccount | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2016-11-15T09:26:56+08:00 ] /index.php/Login/checkAccount | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-11-15T09:26:57+08:00 ] /index.php/Login/checkAccount | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.223012s ]
[ 2016-11-15T09:26:57+08:00 ] /index.php/Login/checkAccount | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-11-15T09:26:57+08:00 ] /index.php/Login/checkAccount | SQL: SELECT `id` FROM `hd_user` WHERE ( `0` = 'account' ) AND ( `1` = 'admin' ) LIMIT 1   [ RunTime:0.067004s ]
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | INFO: Tag[ route_check ] --START--
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | INFO: Tag[ app_begin ] --START--
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | INFO: Tag[ view_template ] --START--
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | INFO: Tag[ view_parse ] --START--
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-15T09:27:06+08:00 ] /index.php/Login/register | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
